bsym,CustomerID,total_amt,max_amt,min_amt,total_cnt,max_cnt,min_cnt,total_qty,max_qty,min_qty,Country,target,total_amt_grp,n_target,grp
2010-12,12370,1864.27,1587.07,277.2,2,82,8,967,96,1,ETC,0.0,3,1,1
2010-12,12383,600.72,600.72,600.72,1,37,37,754,100,3,ETC,1.0,2,0,2
2010-12,12395,679.92,346.1,333.82,2,19,12,753,120,1,ETC,0.0,3,1,1
2010-12,12417,291.34,291.34,291.34,1,11,11,60,16,2,ETC,1.0,1,0,2
2010-12,12481,791.34,631.96,159.38,2,12,10,319,48,1,ETC,1.0,3,0,1
2010-12,12515,383.7,383.7,383.7,1,16,16,131,24,2,ETC,0.0,2,1,2
2010-12,12577,195.89,195.89,195.89,1,67,67,134,12,1,ETC,0.0,1,1,1
2010-12,12585,1262.85,1262.85,1262.85,1,65,65,872,25,2,ETC,0.0,3,1,2
2010-12,12621,1383.65,919.04,464.61,2,18,14,555,48,2,ETC,0.0,3,1,2
2010-12,12683,1063.08,849.2,213.88,2,41,13,664,25,1,ETC,1.0,3,0,1
2010-12,12691,180.0,180.0,180.0,1,5,5,65,36,1,ETC,1.0,1,0,1
2010-12,12725,427.8,427.8,427.8,1,24,24,164,24,2,ETC,0.0,2,1,2
2010-12,12726,170.28,170.28,170.28,1,6,6,333,192,1,ETC,1.0,1,0,1
2010-12,12734,110.39999999999999,110.39999999999999,110.39999999999999,1,4,4,88,24,20,ETC,0.0,1,1,3
2010-12,12763,320.08,320.08,320.08,1,16,16,196,24,6,ETC,0.0,2,1,3
2010-12,12785,311.95,311.95,311.95,1,14,14,131,20,1,ETC,0.0,2,1,1
2010-12,12791,192.60000000000002,192.60000000000002,192.60000000000002,1,2,2,97,96,1,ETC,0.0,1,1,1
2010-12,12797,254.03,254.03,254.03,1,13,13,118,24,1,ETC,0.0,1,1,1
2010-12,12855,38.1,38.1,38.1,1,3,3,30,12,6,UK,0.0,1,1,3
2010-12,12877,150.06,150.06,150.06,1,14,14,170,24,2,UK,1.0,1,0,2
2010-12,12921,687.8000000000001,365.4,322.40000000000003,2,20,15,380,24,3,UK,1.0,3,0,2
2010-12,13011,50.550000000000004,50.550000000000004,50.550000000000004,1,3,3,13,6,3,UK,0.0,1,1,2
2010-12,13013,1528.34,841.94,686.4,2,38,29,802,48,2,UK,0.0,3,1,2
2010-12,13027,1440.0,1440.0,1440.0,1,6,6,3600,960,480,UK,0.0,3,1,3
2010-12,13050,1199.8700000000001,328.01,269.5,4,19,16,749,48,1,UK,1.0,3,0,1
2010-12,13065,205.86,205.86,205.86,1,14,14,74,12,1,UK,0.0,1,1,1
2010-12,13077,313.72,313.72,313.72,1,14,14,303,96,4,UK,0.0,2,1,2
2010-12,13094,223.68,223.68,223.68,1,3,3,192,72,48,UK,1.0,1,0,3
2010-12,13097,304.90000000000003,304.90000000000003,304.90000000000003,1,11,11,90,36,2,UK,1.0,2,0,2
2010-12,13126,223.44,203.64000000000001,19.799999999999997,2,12,1,120,12,2,UK,1.0,1,0,2
2010-12,13173,165.94,165.94,165.94,1,23,23,114,25,1,UK,0.0,1,1,1
2010-12,13199,711.8,468.68,243.11999999999998,2,7,4,668,384,16,UK,1.0,3,0,3
2010-12,13209,318.85,318.85,318.85,1,13,13,117,36,2,UK,1.0,2,0,2
2010-12,13211,110.7,110.7,110.7,1,2,2,46,40,6,UK,0.0,1,1,3
2010-12,13225,1206.72,1206.72,1206.72,1,4,4,864,288,144,UK,1.0,3,0,3
2010-12,13267,622.3000000000001,328.45,293.85,2,15,10,254,32,2,UK,1.0,3,0,2
2010-12,13305,136.2,136.2,136.2,1,5,5,132,48,12,UK,0.0,1,1,3
2010-12,13370,754.87,754.87,754.87,1,39,39,343,48,2,UK,0.0,3,1,2
2010-12,13402,308.28000000000003,308.28000000000003,308.28000000000003,1,17,17,190,24,2,UK,0.0,2,1,2
2010-12,13448,829.5400000000001,426.56,17.4,3,17,1,332,24,2,UK,0.0,3,1,2
2010-12,13468,911.0,328.77,51.4,4,19,2,314,12,1,UK,1.0,3,0,1
2010-12,13488,1381.92,1381.92,1381.92,1,45,45,516,48,2,UK,1.0,3,0,2
2010-12,13491,196.4,98.9,97.5,2,7,5,54,12,1,UK,1.0,1,0,1
2010-12,13495,865.4300000000001,510.95,354.48,2,14,8,377,32,6,UK,0.0,3,1,3
2010-12,13496,501.01,501.01,501.01,1,26,26,229,24,1,UK,0.0,2,1,1
2010-12,13497,153.5,153.5,153.5,1,9,9,54,12,3,UK,0.0,1,1,2
2010-12,13520,303.4,303.4,303.4,1,6,6,110,36,2,ETC,1.0,1,0,2
2010-12,13569,109.82000000000001,109.82000000000001,109.82000000000001,1,23,23,43,5,1,UK,0.0,1,1,1
2010-12,13576,349.15,349.15,349.15,1,11,11,108,60,1,UK,1.0,2,0,1
2010-12,13579,164.70000000000002,164.70000000000002,164.70000000000002,1,9,9,46,12,1,UK,0.0,1,1,1
2010-12,13649,197.8,197.8,197.8,1,15,15,67,24,1,UK,0.0,1,1,1
2010-12,13652,308.8,308.8,308.8,1,18,18,112,12,2,UK,0.0,2,1,2
2010-12,13756,1004.4000000000001,532.8000000000001,163.8,3,9,2,444,192,6,UK,0.0,3,1,3
2010-12,13769,322.3,322.3,322.3,1,10,10,122,48,4,UK,1.0,2,0,2
2010-12,13846,411.4,411.4,411.4,1,28,28,234,12,2,UK,0.0,2,1,2
2010-12,13869,323.62,323.62,323.62,1,21,21,156,25,2,UK,1.0,2,0,2
2010-12,13922,172.25,172.25,172.25,1,7,7,93,30,2,UK,0.0,1,1,2
2010-12,13948,102.0,102.0,102.0,1,3,3,40,24,4,UK,0.0,1,1,2
2010-12,13969,317.59000000000003,317.59000000000003,317.59000000000003,1,25,25,133,20,1,UK,1.0,2,0,1
2010-12,13982,428.6,428.6,428.6,1,23,23,208,32,3,UK,1.0,2,0,2
2010-12,14001,301.24,301.24,301.24,1,9,9,94,20,2,UK,0.0,1,1,2
2010-12,14030,676.5,670.55,5.95,2,26,1,97,12,1,UK,0.0,3,1,1
2010-12,14031,2568.9500000000003,1714.25,185.82,3,25,3,989,144,2,UK,1.0,3,0,2
2010-12,14032,619.42,315.56,303.86,2,15,14,389,48,2,UK,0.0,3,1,2
2010-12,14060,874.04,339.84,253.2,3,8,4,868,144,24,UK,1.0,3,0,3
2010-12,14083,444.36,294.01,37.67,3,62,10,217,24,1,UK,0.0,2,1,1
2010-12,14092,601.73,351.08,250.65,2,28,13,245,12,1,UK,1.0,2,0,1
2010-12,14113,433.5,433.5,433.5,1,2,2,102,96,6,UK,0.0,2,1,3
2010-12,14146,1241.43,1241.43,1241.43,1,35,35,551,48,2,UK,0.0,3,1,2
2010-12,14156,322.2,322.2,322.2,1,3,3,1548,1440,36,ETC,1.0,2,0,3
2010-12,14159,189.92,189.92,189.92,1,50,50,112,19,1,UK,0.0,1,1,1
2010-12,14161,283.15,283.15,283.15,1,26,26,128,12,1,UK,0.0,1,1,1
2010-12,14210,304.95000000000005,304.95000000000005,304.95000000000005,1,15,15,93,12,1,UK,1.0,2,0,1
2010-12,14215,166.0,166.0,166.0,1,6,6,104,24,8,UK,1.0,1,0,3
2010-12,14217,118.3,118.3,118.3,1,7,7,26,12,1,UK,1.0,1,0,1
2010-12,14282,571.0,571.0,571.0,1,13,13,300,50,5,UK,0.0,2,1,3
2010-12,14293,364.92,364.92,364.92,1,15,15,172,24,6,UK,0.0,2,1,3
2010-12,14334,320.15,320.15,320.15,1,20,20,225,24,2,UK,1.0,2,0,2
2010-12,14388,312.8,312.8,312.8,1,21,21,170,12,1,UK,0.0,2,1,1
2010-12,14396,110.35000000000001,110.35000000000001,110.35000000000001,1,34,34,39,3,1,UK,0.0,1,1,1
2010-12,14440,656.7,656.7,656.7,1,13,13,150,18,6,UK,1.0,3,0,3
2010-12,14443,303.5,303.5,303.5,1,20,20,163,25,3,UK,0.0,1,1,2
2010-12,14472,246.38,246.38,246.38,1,29,29,96,12,1,UK,1.0,1,0,1
2010-12,14496,304.34000000000003,304.34000000000003,304.34000000000003,1,5,5,86,36,2,UK,0.0,1,1,2
2010-12,14506,257.0,257.0,257.0,1,43,43,106,14,1,UK,0.0,1,1,1
2010-12,14525,462.3,462.3,462.3,1,19,19,312,96,1,UK,1.0,2,0,1
2010-12,14573,402.0,402.0,402.0,1,68,68,126,12,1,UK,0.0,2,1,1
2010-12,14576,35.400000000000006,35.400000000000006,35.400000000000006,1,1,1,12,12,12,UK,0.0,1,1,3
2010-12,14594,255.0,255.0,255.0,1,31,31,146,12,1,UK,0.0,1,1,1
2010-12,14621,305.7,305.7,305.7,1,16,16,130,12,4,UK,0.0,2,1,2
2010-12,14625,585.53,585.53,585.53,1,34,34,255,24,1,UK,0.0,2,1,1
2010-12,14667,1972.04,686.15,207.36,5,46,13,1376,144,1,UK,1.0,3,0,1
2010-12,14673,373.49,373.49,373.49,1,15,15,213,36,3,UK,0.0,2,1,2
2010-12,14684,168.36,168.36,168.36,1,44,44,70,9,1,UK,0.0,1,1,1
2010-12,14702,310.45,310.45,310.45,1,29,29,162,24,1,UK,1.0,2,0,1
2010-12,14709,314.1,314.1,314.1,1,15,15,108,20,2,UK,1.0,2,0,2
2010-12,14723,455.65,208.46,97.39,3,40,19,199,12,1,UK,0.0,2,1,1
2010-12,14733,4357.22,1830.02,832.0799999999999,3,33,17,1884,80,2,UK,1.0,3,0,2
2010-12,14739,713.88,713.88,713.88,1,12,12,476,96,12,UK,1.0,3,0,3
2010-12,14766,180.4,180.4,180.4,1,6,6,64,24,1,UK,0.0,1,1,1
2010-12,14796,1028.82,671.21,357.61,2,49,36,672,36,1,UK,1.0,3,0,1
2010-12,14841,395.16,395.16,395.16,1,19,19,274,30,2,UK,0.0,2,1,2
2010-12,14871,120.95,120.95,120.95,1,21,21,33,4,1,UK,0.0,1,1,1
2010-12,14878,322.01,322.01,322.01,1,13,13,135,24,3,UK,0.0,2,1,2
2010-12,14898,98.5,98.5,98.5,1,3,3,18,9,1,UK,1.0,1,0,1
2010-12,14911,7737.9400000000005,1705.65,15.0,13,71,1,3331,96,1,ETC,1.0,3,0,1
2010-12,15028,185.97,185.97,185.97,1,14,14,119,48,1,UK,0.0,1,1,1
2010-12,15034,820.4,820.4,820.4,1,38,38,448,72,1,UK,1.0,3,0,1
2010-12,15038,118.88,118.88,118.88,1,30,30,43,4,1,UK,0.0,1,1,1
2010-12,15048,98.7,98.7,98.7,1,23,23,32,5,1,UK,0.0,1,1,1
2010-12,15062,209.08,209.08,209.08,1,11,11,164,32,4,UK,0.0,1,1,2
2010-12,15081,111.15,111.15,111.15,1,8,8,57,12,2,UK,0.0,1,1,2
